[2026-06-01 15:22:12] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-31
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605310000+TO+202605312359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-6-1 | Identifying Misinformation Spreaders through Multi-Source User Modeling
[ACM] 2026-6-1 | Investigating Preference Elicitation Strategies in Conversational Recommender Systems
[ACM] 2026-6-1 | Towards Student Profiles for Personalized Social Comparison in Learning Interfaces
[ACM] 2026-6-1 | Explanation Demand as a Trait, Not a State: Implications for User Modeling in Adaptive Systems
[ACM] 2026-6-1 | Inferential and Causal Principles for Better Understanding Interactive Systems.
[ACM] 2026-6-1 | ParaAdapt: Parametric User Modeling &amp; Adaptation for Navigating Complex Interactive Domains
[ACM] 2026-6-1 | Contextual Risk-Driven Input Structuring for Probing (CRISP) at the DeepTest 2026 Tool Competition
[ACM] 2026-6-1 | The Stars Align: Modeling User Rating Calibration with Sparse Semantic Review Features
[ACM] 2026-6-1 | User Modelling and Adaptation in Immersive Preventive Health Interventions: A Systematic Review and Evidence Map
[ACM] 2026-6-1 | From Understanding to Anchoring: Informal Caregivers' Mental Models of Generative Artificial Intelligence-based Conversational Agents for Problem-Solving
[ACM] 2026-6-1 | Multi-Dimensional Evaluation of Sustainable City Trips with LLM-as-a-Judge and Human-in-the-Loop
[ACM] 2026-6-1 | In-IDE Toolkit for Developers of AI-Based Features
[ACM] 2026-6-1 | Proceedings of the 3rd ACM/IEEE International Workshop on Integrated Development Environments
[ACM] 2026-6-1 | Virtual User Lab: An Interactive System for Simulating User Perspectives with AI Personas for Ideation and Evaluation
[ACM] 2026-6-1 | Visual or Textual: Effects of Explanation Format and Personal Characteristics on the Perception of Explanations in an Educational Recommender System
[ACM] 2026-6-1 | "Voglia di": Supporting Food Choices Through Transient Cravings
[ACM] 2026-6-1 | CAPTURE: A Visual–Conversational Dashboard for Supporting User-Driven Explanations in a Job–Candidate Matching Algorithm
[ACM] 2026-6-1 | AI for active learners: Applying insights from the learning sciences and human-centered AI to educational contexts
[ACM] 2026-6-1 | What Do Your Eyes Reveal About Learning from Videos? A Dataset Demonstrating the Link Between Gaze Measures, Engagement, and Learning
[ACM] 2026-6-1 | From emotional hooks to conspiratorial claims: A teen-focused game for reflecting on misinformation interactions
[ACM] 2026-6-1 | Proto-ML: An IDE for ML Solution Prototyping
